"","       m²","Oda Sayısı"," Bina Yaşı"," Bulunduğu Kat","Kat Sayısı","   Isıtma","Banyo Sayısı","   Balkon","Eşyalı/sız","Sahibinden/Emlak"," Cephe","Asansör","  Ulaşım","Manzara","  Muhit","    Fiyat","Site İçerisinde","    İlçe"
"1.","100","3","0","1","4","Doğalgaz","1","Var","Eşyalı","Emlak","Batı","Var","Var","Şehir","uygun","1300","Hayır","Bozüyük"
"2.","125","4","0","6","6","Doğalgaz","2","Var","Eşyasız","Emlak","Doğu","Var","Var","Şehir","uygun","1250","Hayır","Bozüyük"
"3.","125","4","0","2","6","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Var","Yok","Doğa","uygunsuz","850","Hayır","Bozüyük"
"4.","75","2","10","5","6","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Var","Var"," Şehir","uygun","600","Evet","Bozüyük"
"5.","100","3","15","2","2","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Yok","Var","Şehir","uygun","550","Hayır","Merkez"
"6.","110","3","9","0","4","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Yok","Var","Şehir","uygun","550","Hayır","Merkez"
"7.","120","4","10","3","6","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Var","Var","Doğa","uygun","700","Evet","Merkez"
"8.","110","3","10","0","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Doğu","Var","Var","Şehir","uygun","630","Hayır","Merkez"
"9.","80","3","11","2","2","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Yok","Var","Doğa","uygun","500","Hayır","Merkez"
"10.","95","3","0","2","5","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Yok","Var","Şehir","uygun","650","Evet","Bozüyük"
"11.","65","2","4","5","5","Doğalgaz","1","Yok","Eşyalı","Emlak","Batı","Var","Var","Doğa","uygun","800","Hayır","Merkez"
"12.","110","4","10","2","2","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","700","Hayır","Merkez"
"13.","90","3","16","1","5","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Yok","Var","Şehir","uygun","900","Hayır","Merkez"
"14.","240","6","5","5","5","Doğalgaz","3","Var","Eşyasız","Emlak","Doğu","Var","Var","Doğa","uygun","1550","Hayır","Merkez"
"15.","125","4","10","0","5","Doğalgaz","2","Yok","Eşyasız","Emlak","Doğu","Var","Var","Şehir","uygun","600","Hayır","Merkez"
"16.","105","4","10","1","1","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Yok","Var","Şehir","uygun","700","Hayır","Bozüyük"
"17.","110","3","16","3","5","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Yok","Var","Şehir","uygun","550","Hayır","Merkez"
"18.","96","4","31","3","3","Doğalgaz","1","Var","Eşyasız","Sahibinden","Doğu","Yok","Var","Doğa","uygun","500","Hayır","Merkez"
"19.","145","4","10","3","7","Doğalgaz","2","Var","Eşyasız","Sahibinden","Doğu","Yok","Var","Şehir","uygun","750","Evet","Bozüyük"
"20.","110","3","0","3","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","100","Hayır","Merkez"
"21.","120","4","11","5","5","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Yok","Var","Şehir","uygun","600","Hayır","Merkez"
"22.","110","4","11","0","3","Doğalgaz","1","Var","Eşyasız","Emlak","Kuzey","Yok","Var","Doğa","uygun","600","Hayır","Osmaneli"
"23.","85","2","6","0","5","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Yok","Var","Şehir","uygun","600","Hayır","Merkez"
"24.","90","3","2","1","4","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Var","Var","Şehir","uygun","650","Evet","Osmaneli"
"25.","120","4","8","3","5","Doğalgaz","2","Var","Eşyasız","Emlak","Batı","Yok","Var","Şehir","uygun","900","Hayır","Merkez"
"26.","110","4","13","4","4","Doğalgaz","1","Var","Eşyalı","Emlak","Güney","Yok","Var","Şehir","uygun","1000","Evet","Osmaneli"
"27.","45","2","9","2","6","Doğalgaz","1","Var","Eşyasız","Emlak","Kuzey","Var","Var","Şehir","uygun","500","Hayır","Merkez"
"28.","110","3","4","5","5","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Var","Var","Şehir","uygun","700","Hayır","Merkez"
"29.","55","2","10","2","7","Doğalgaz","1","Var","Eşyasız","Emlak","Kuzey","Var","Var","Şehir","uygun","700","Hayır","Merkez"
"30.","120","4","21","4","4","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","700","Hayır","Bozüyük"
"31.","135","4","8","5","6","Doğalgaz","2","Var","Eşyasız","Sahibinden","Doğu","Var","Var","Şehir","uygun","1200","Evet","Bozüyük"
"32.","150","4","6","1","4","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Yok","Var","Doğa","uygun","850","Hayır","Merkez"
"33.","55","2","4","2","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Doğu","Var","Var","Şehir","uygun","550","Hayır","Osmaneli"
"34.","95","4","26","1","5","Doğalgaz","1","Var","Eşyalı","Sahibinden","Güney","Yok","Var","Şehir","uygun","1400","Hayır","Bozüyük"
"35.","120","4","17","5","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Batı","Yok","Var","Şehir","uygun","600","Evet","Osmaneli"
"36.","55","2","6","4","4","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Yok","Var","Şehir","uygun","600","Hayır","Merkez"
"37.","120","4","21","4","4","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","500","Evet","Bozüyük"
"38.","100","4","11","1","3","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","650","Hayır","Merkez"
"39.","100","3","6","2","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Doğu","Var","Var","Şehir","uygun","650","Hayır","Bozüyük"
"40.","50","2","8","5","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Kuzey","Var","Var","Şehir","uygun","600","Hayır","Merkez"
"41.","50","2","9","3","5","Doğalgaz","1","Yok","Eşyasız","Sahibinden","Kuzey","Yok","Var","Şehir","uygun","550","Hayır","Merkez"
"42.","135","4","13","4","5","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Yok","Var","Şehir","uygun","600","Evet","Merkez"
"43.","73","2","8","6","7","Doğalgaz","1","Var","Eşyalı","Emlak","Batı","Var","Var","Doğa","uygun","750","Hayır","Merkez"
"44.","100","3","6","2","5","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Var","Var","Şehir","uygun","650","Hayır","Bozüyük"
"45.","100","4","13","1","3","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","650","Hayır","Merkez"
"46.","120","4","23","4","4","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","500","Hayır","Bozüyük"
"47.","100","3","11","0","3","Doğalgaz","1","Yok","Eşyasız","Sahibinden","Doğu","Yok","Var","Şehir","uygun","299","Evet","Merkez"
"48.","35","2","4","2","6","Doğalgaz","1","Var","Eşyasız","Sahibinden","Batı","Yok","Var","Şehir","uygun","600","Hayır","Merkez"
"49.","110","3","0","1","5","Doğalgaz","2","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","750","Hayır","Merkez"
"50.","130","4","16","4","5","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Yok","Var","Şehir","uygun","700","Evet","Merkez"
"51.","100","3","16","0","4","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Yok","Var","Doğa","uygun","550","Evet","Merkez"
"52.","100","3","11","3","3","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Yok","Var","Doğa","uygun","650","Hayır","Merkez"
"53.","50","2","2","3","7","Doğalgaz","1","Yok","Eşyasız","Emlak","Kuzey","Yok","Var","Şehir","uygun","650","Hayır","Merkez"
"54.","150","4","15","6","6","Doğalgaz","2","Var","Eşyasız","Emlak","Batı","Var","Var","Doğa","uygun","850","Evet","Merkez"
"55.","30","2","2","2","6","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","650","Hayır","Bozüyük"
"56.","110","4","21","1","4","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Yok","Var","Şehir","uygun","650","Hayır","Bozüyük"
"57.","110","4","0","3","3","Doğalgaz","3","Var","Eşyasız","Sahibinden","Kuzey","Var","Var","Şehir","uygun","750","Evet","Bozüyük"
"58.","165","4","11","3","6","Doğalgaz","1","Var","Eşyasız","Emlak","Batı","Var","Var","Doğa","uygun","1300","Evet","Merkez"
"59.","50","2","2","1","5","Doğalgaz","1","Yok","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","600","Hayır","Bozüyük"
"60.","92","3","11","5","6","Doğalgaz","1","Yok","Eşyasız","Emlak","Batı","Yok","Var","Şehir","uygun","850","Hayır","Merkez"
"61.","165","4","8","1","5","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Yok","Var","Şehir","uygun","900","Hayır","Merkez"
"62.","100","4","8","0","4","Doğalgaz","1","Yok","Eşyalı","Emlak","Güney","Yok","Var","Şehir","uygun","700","Hayır","Merkez"
"63.","100","3","14","1","2","Doğalgaz","1","Var","Eşyasız","Emlak","Batı","Yok","Var","Şehir","uygun","700","Hayır","Bozüyük"
"64.","200","5","4","6","6","Doğalgaz","1","Var","Eşyasız","Emlak","Doğu","Yok","Var","Şehir","uygun","1000","Hayır","Merkez"
"65.","70","2","8","4","5","Doğalgaz","1","Var","Eşyasız","Emlak","Kuzey","Yok","Var","Şehir","uygun","600","Hayır","Merkez"
